k_90_eigen_101,k_99_eigen_101
0.95145737,0.97951562
0.9130015,0.9986916
0.81333082,0.96741648
0.89499851,0.93075023
0.89243381,0.99168939
0.88205355,0.90566598
0.90540886,0.99459503
0.92644437,0.98326701
0.92433869,0.99961784
0.96975537,0.99633611
0.90120117,0.98092625
0.96279915,0.99994259
0.9023115,0.98151414
0.89514495,0.96686807
0.92734218,0.99591246
0.94437021,0.97509286
0.89390065,0.98482858
0.91807227,0.98120544
0.93101034,0.98709843
0.94598718,0.93024629
0.9233359,0.99826294
0.86520517,0.98231428
0.88124909,0.99243862
0.93498534,0.99582591
0.95041705,0.99135708
0.91727585,0.98513353
0.90277959,0.99181217
0.87710223,0.91931106
0.90394041,0.994562
0.94223073,0.985752
