Rank,Title,Artist,Genre,Language,Duration,Total Times Listened
1,Fly Me Away,"StreamBeats Originals, Tuonto",N/A,English,2:35,
2,Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),"Bebe Rexha, ITZY, YEJI & RYUJIN of ITZY",Dance Pop,English,2:42,
3,Fly Me Away - Instrumental,StreamBeats Originals,N/A,N/A,2:35,
4,In The Stars,Benson Boone,Pop,English,3:36,
5,喜欢你,Kit Chan,Mandopop,Chinese,4:25,
6,When I Was Eighteen,China songs,Chinese Drama Ost,Chinese,3:02,
7,I Miss You,Joyce Chu,Mandopop,Chinese,2:38,
8,那女孩对我说 - 纯享版,"Krystal Chan, 孙珍妮, 田京凡, 王柯, 王丽娜",Chinese Drama Ost,Chinese,4:01,
9,告白氣球,Jay Chou,Mandopop,Chinese,3:35,
10,Never Stop,China songs,Chinese Drama Ost,Chinese,3:31,
11,Two Places at Once,Haley Joelle,Alt Z,English,3:19,
12,[Theme Song] Wu Ji - Chorus Edition,"Xiao Zhan, WANG YIBO",Chinese Drama Ost,Chinese,4:13,
13,Follow the Light,Krystal Chan,Chinese Drama Ost,Chinese,3:33,
14,那女孩對我說,Rachel Liang,Mandopop,Chinese,4:28,
15,那些年,Hu Xia,Mandopop,Chinese,6:09,
16,愛是,"連淮偉, 彭雅琦",Chinese Drama Ost,Chinese,3:17,
17,Honey,Cyndi Wang,Mandopop,Chinese,3:34,
18,Soulmate,"Xu Kai, 程瀟 (Cheng Xiao)",Chinese Drama Ost,Chinese,3:28,
19,"Warrior (JOSHUA, 文俊辉, 徐明浩, MINGYU, VERNON from SEVENTEEN)",SEVENTEEN,Kpop,,3:00,
20,Before You Go,Lewis Capaldi,Pop,English,3:35,
21,drivers license,Olivia Rodrigo,Pop,English,4:02,
22,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,Chinese Drama Ost,Chinese,3:15,
23,You Have Me,China songs,Chinese Drama Ost,Chinese,3:43,
24,会不会再见,徐艺洋,N/A,Chinese,3:19,
25,安靜,Jay Chou,Mandopop,Chinese,5:34,
26,Heroes,Air League Band,Chinese Drama Ost,,2:41,
27,[Wen Qing] woodland,Gao Qiuzi,Chinese Drama Ost,Chinese,3:53,
28,Wanan,"齐悦, 张佳伦, M.T.G, A.T. L",N/A,Chinese,3:14,
29,Someone You Loved,Lewis Capaldi,Pop,English,3:02,
30,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",R&B,English,3:29,
31,It's Corn,"Tariq, The Gregory Brothers, Recess Therapy",N/A,English,2:47,
32,[Yicheng Group] Gu Cheng,"Krystal Chan, Sun Bolun",Chinese Drama Ost,Chinese,3:52,
33,Everytime,WayV,Kpop,,2:58,
34,我很快樂,Eric Chou,Mandopop,Chinese,4:56,
35,SNEAKERS (English Ver.),ITZY,Kpop,English,2:59,
36,Downwind,China songs,Chinese Drama Ost,Chinese,3:41,
37,Sometimes,王以綸,Chinese Drama Ost,Chinese,4:09,
38,Signs of You,"Zhai Xiaowen, Frankid",Chinese Drama Ost,Chinese,3:08,
39,All My Exes' Moms,Brooke Alexx,Alt Z,English,2:05,
40,Miracle,高瀚宇,Chinese Drama Ost,Chinese,3:36,
41,离群 - 纯享版,"王艺瑾, Krystal Chan, 华承妍, 林君怡, 马思惠, 张清, 李治廷",N/A,Chinese,4:23,
42,時候,Sue,Chinese Singer-songwriter,Chinese,4:07,
43,无羁 - Live,Krystal Chan,Chinese Drama Ost,Chinese,1:56,
44,my home,AWIN,N/A,English,2:09,
45,123我爱你,新乐尘符,Chinese Viral Pop,Chinese,3:19,
46,Wu Ji - Piano Ver.,Hai Lin,Chinese Soundtrack,N/A,1:23,
47,學貓叫,"小潘潘, 小峰峰",Chinese Manyao,Chinese,3:29,
48,From the Start,"Sophism, Isabella LeVan",N/A,N/A,2:56,
49,笑看江湖 - 网剧《山河令》江湖推广曲,满舒克,Chinese Viral Pop,Chinese,3:22,
50,[Xue Yang] Huang Cheng Du,Zhou Shen,Chinese Drama Ost,Chinese,4:19,
