Rank,Title,Artist,Genre,Language,Duration,Total Times Listened
1,愛是,"連淮偉, 彭雅琦",Chinese Drama Ost,Chinese,3:17,
2,Fly Me Away,"StreamBeats Originals, Tuonto",N/A,English,2:35,
3,Moonlike Smile,"Yu-Peng Chen, HOYO-MiX, Zach Huang",Genshin,N/A,1:17,
4,Never Stop,China songs,Chinese Drama Ost,Chinese,3:31,
5,I Miss You,Joyce Chu,Mandopop,Chinese,2:38,
6,那女孩對我說,Rachel Liang,Mandopop,Chinese,4:28,
7,喜欢你,Kit Chan,Mandopop,Chinese,4:25,
8,冰激凌,Z.TAO,Mandopop,Chinese,3:48,
9,大魚 - 唱片版,Zhou Shen,Chinese Pop,Chinese,5:17,
10,Things I Do For Love,李承鉉,Chinese Drama Ost,English,4:01,
11,A Love Song For you,汪睿,Chinese Drama Ost,Chinese,3:11,
12,Honey,Cyndi Wang,Mandopop,Chinese,3:34,
13,Blue Bird,Della,Mandopop,Chinese,3:33,
14,When I Was Eighteen,China songs,Chinese Drama Ost,Chinese,3:02,
15,[Theme Song] Wu Ji - Chorus Edition,"Xiao Zhan, WANG YIBO",N/A,Chinese,4:13,
16,瀟灑小姐,Elva Hsiao,Mandopop,Chinese,3:43,
17,Sometimes,王以綸,Chinese Drama Ost,English,4:09,
18,大碗宽面,吴亦凡,N/A,Chinese,3:41,
19,Miracle,高瀚宇,Chinese Drama Ost,Chinese,3:36,
20,Come Back My Love,安唯綾,Chinese Drama Ost,Chinese,3:51,
21,學貓叫(Remix版),"小潘潘, 小峰峰（陳峰）, Wengie黃文潔",Chinese Manyao,Chinese,3:36,
22,You Have Me,China songs,Chinese Drama Ost,Chinese,3:43,
23,我要变好看,周思涵,Chinese Viral Pop,Chinese,3:20,
24,[Yicheng Group] Gu Cheng,"Krystal Chan, Sun Bolun",Chinese Drama Ost,Chinese,3:52,
25,颗粒季,希林娜依•高,Chinese Singer-songwriter,Chinese,4:29,
26,Say Yes,徐紫茵,Chinese Drama Ost,Chinese,3:54,
27,學貓叫,"小潘潘, 小峰峰",Chinese Manyao,Chinese,3:29,
28,Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),"Bebe Rexha, ITZY, YEJI & RYUJIN of ITZY",Dance Pop,English,2:42,
29,summertime,"cinnamons, evening cinema",Japanese Pop,Japanese,4:11,
30,紅蓮華,LiSA,Anime Rock,Japanese,3:57,
31,一翦梅,Fei Yu-ching,Mandopop,Chinese,3:54,
32,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,Chinese Drama Ost,Chinese,3:15,
33,告白氣球,Jay Chou,Mandopop,Chinese,3:35,
34,Wu Ji - Piano Ver.,Hai Lin,Chinese Soundtrack,N/A,1:23,
35,dreamy night,LilyPichu,Otacore,English,4:05,
36,Downwind,China songs,Chinese Drama Ost,Chinese,3:41,
37,シルシ,LiSA,Anime Rock,Japanese,4:47,
38,forget-me-not,ReoNa,Anime,Japanese,4:26,
39,約定 - 2016 Live Version,Michael Wong,Mandopop,Chinese,3:53,
40,crossing field,LiSA,Anime Rock,Japanese,4:10,
41,那些年,Hu Xia,Mandopop,Chinese,6:09,
42,Sword Art Online: Alicization Op - ADAMAS,Raon,Otacore,Japanese,3:45,
43,会不会再见,徐艺洋,N/A,Chinese,3:19,
44,Yume To Hazakura - Chinese,NSZX,N/A,Chinese,3:38,
45,Before You Go,Lewis Capaldi,Pop,English,3:35,
46,サイサキ,Reol,Anime Rock,Japanese,3:37,
47,Ring Ring Ring,S.H.E,Mandopop,Chinese,3:48,
48,老鼠愛大米,Twins,Cantopop,Chinese,4:22,
49,ADAMAS,LiSA,Anime Rock,Japanese,3:45,
50,Fly Me Away - Instrumental,StreamBeats Originals,N/A,N/A,2:35,
