Rank,Title,Artist,Genre,Language,Duration,Total Times Listened
1,In The Stars,Benson Boone,Pop,English,3:36,
2,Fly Me Away,"StreamBeats Originals, Tuonto",N/A,English,2:35,
3,Two Places at Once,Haley Joelle,Alt Z,English,3:19,
4,Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),"Bebe Rexha, ITZY, YEJI & RYUJIN of ITZY",Dance Pop,English,2:42,
5,Falling Behind,Laufey,Gen Z Singer-songwriter,English,2:53,
6,Before You Go,Lewis Capaldi,Pop,English,3:35,
7,my home,AWIN,N/A,English,2:09,
8,All My Exes' Moms,Brooke Alexx,Alt Z,English,2:05,
9,It's Quiet Uptown,"Renée Elise Goldsberry, Lin-Manuel Miranda, Phillipa Soo, Original Broadway Cast of Hamilton",Show Tunes,English,4:30,
10,Someone You Loved,Lewis Capaldi,Pop,English,3:02,
11,The Astronaut,JIN,Kpop,Korean,4:42,
12,She Used To Be Mine,Sara Bareilles,Acoustic Pop,English,4:10,
13,Dumb In Love,Brooke Alexx,Alt Z,English,2:46,
14,drivers license,Olivia Rodrigo,Pop,English,4:02,
15,Comedy,Gen Hoshino,J-acoustic,Japanese,3:50,
16,Last Cup of Coffee Cover,"Natsumiii, Valkyrae, LilyPichu",N/A,English,1:10,
17,Wait for It,"Leslie Odom Jr., Original Broadway Cast of Hamilton",Show Tunes,English,3:13,
18,last cup of coffee,LilyPichu,Otacore,English,2:41,
19,Miracle,高瀚宇,Chinese Drama Ost,Chinese,3:36,
20,double take,dhruv,R&B,English,2:51,
21,Oldest,Brooke Alexx,Alt Z,English,3:07,
22,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",Dance Pop,English,2:59,
23,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",R&B,English,3:29,
24,[Xue Yang] Huang Cheng Du,Zhou Shen,Chinese Drama Ost,Chinese,4:19,
25,髮如雪,Jay Chou,Mandopop,Chinese,4:59,
26,In My Mind,Lyn Lapid,Alt Z,English,2:42,
27,Let Me Alone,moow,Lofi,N/A,2:07,
28,Let Me Down Slowly,Alec Benjamin,Alt Z,English,2:49,
29,dreamy night,LilyPichu,Otacore,English,4:05,
30,I Don’t Take Pictures Anymore (From “American Song Contest”),"Brooke Alexx, American Song Contest",Alt Z,English,2:52,
31,Perfect,Brooke Alexx,ALt Z,English,2:22,
32,那女孩对我说 - 纯享版,"Krystal Chan, 孙珍妮, 田京凡, 王柯, 王丽娜",Chinese Drama Ost,Chinese,4:01,
33,无羁 - Live,Krystal Chan,Chinese Drama Ost,Chinese,1:56,
34,Summer In The Hamptons,"Brooke Alexx, Lackhoney",Alt Z,English,2:38,
35,那女孩對我說,Rachel Liang,Mandopop,Chinese,4:28,
36,golden hour,JVKE,Indie Pop,English,3:29,
37,"I'm Sorry, Tokyo",Brooke Alexx,ALt Z,English,3:34,
38,Super Power,徐艺洋,Cpop,Chinese,3:09,
39,traitor,Olivia Rodrigo,Pop,English,3:49,
40,[Wen Qing] woodland,Gao Qiuzi,Chinese Drama Ost,Chinese,3:53,
41,Grace,Brooke Alexx,ALt Z,English,2:42,
42,[Yicheng Group] Gu Cheng,"Krystal Chan, Sun Bolun",Chinese Drama Ost,Chinese,3:52,
43,[Theme Song] Wu Ji - Chorus Edition,"Xiao Zhan, WANG YIBO",Chinese Drama Ost,Chinese,4:13,
44,Someone You Loved - Live,希林娜依•高,Chinese Singer-songwriter,English,1:18,
45,Break My Heart Myself (feat. Travis Barker),"Bebe Rexha, Travis Barker",Dance Pop,English,2:31,
46,愛是,"連淮偉, 彭雅琦",Chinese Drama Ost,Chinese,3:17,
47,风的话 - 《我的小确幸》影视剧片头主题曲,Krystal Chan,Chinese Drama Ost,Chinese,3:15,
48,Glimpse of Us (Her Perspective),Lindsey Jade,N/A,English,3:48,
49,原來我很愛你 - 電視劇《原來我很愛你》同名主題曲,Evan Lin,Chinese Drama Ost,Chinese,3:40,
50,余年,Xiao Zhan,N/A,Chinese,4:25,
