Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),15–17 years,15-17 years (percentage),18–19 years,18-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage)
2000,17.3,71.4,79.2,7.92%,50.1,5.01%,121.9,12.19%,145.4,14.54%,102.8,10.28%,66.5,6.65%,31.8,3.18%,7.2,0.72%
2001,16.6,69.1,73.1,7.31%,44.8,4.48%,115.9,11.59%,137.3,13.73%,102.8,10.28%,66.4,6.64%,32.0,3.20%,7.3,0.73%
2002,16.1,67.5,67.7,6.77%,40.6,4.06%,109.5,10.95%,131.4,13.14%,103.1,10.31%,66.5,6.65%,32.1,3.21%,7.5,0.75%
2003,15.9,67.1,63.8,6.38%,38.2,3.82%,103.4,10.34%,128.8,12.88%,104.0,10.40%,67.7,6.77%,33.4,3.34%,7.7,0.77%
2004,15.8,67.1,61.9,6.19%,36.4,3.64%,101.6,10.16%,127.9,12.79%,105.0,10.50%,67.8,6.78%,33.6,3.36%,7.8,0.78%
2005,15.8,67.2,59.4,5.94%,34.1,3.41%,100.2,10.02%,127.9,12.79%,105.5,10.55%,68.8,6.88%,34.2,3.42%,8.2,0.82%
2006,16.5,70.7,61.9,6.19%,35.2,3.52%,105.1,10.51%,134.4,13.44%,110.0,11.00%,73.2,7.32%,35.9,3.59%,8.3,0.83%
2007,16.6,71.4,62.0,6.20%,34.6,3.46%,105.2,10.52%,134.5,13.45%,110.5,11.05%,74.7,7.47%,36.2,3.62%,8.5,0.85%
2008,16.3,70.8,60.4,6.04%,33.6,3.36%,100.0,10.00%,131.6,13.16%,108.8,10.88%,75.3,7.53%,36.3,3.63%,8.7,0.87%
2009,15.7,68.9,56.8,5.68%,31.0,3.10%,93.5,9.35%,125.9,12.59%,106.0,10.60%,73.9,7.39%,36.1,3.61%,8.9,0.89%
2010,15.1,66.6,51.5,5.15%,27.4,2.74%,85.6,8.56%,119.4,11.94%,102.5,10.25%,73.6,7.36%,36.4,3.64%,9.2,0.92%
2011,14.7,65.4,47.3,4.73%,24.6,2.46%,78.8,7.88%,112.3,11.23%,101.7,10.17%,73.9,7.39%,37.8,3.78%,9.3,0.93%
2012,14.6,65.0,43.9,4.39%,21.9,2.19%,74.1,7.41%,109.0,10.90%,101.7,10.17%,75.1,7.51%,38.9,3.89%,9.6,0.96%
2013,14.4,64.6,39.0,3.90%,18.9,1.89%,67.0,6.70%,105.6,10.56%,102.7,10.27%,77.3,7.73%,40.3,4.03%,9.9,0.99%
2014,14.4,64.5,34.9,3.49%,16.6,1.66%,61.5,6.15%,102.8,10.28%,103.3,10.33%,79.6,7.96%,42.5,4.25%,10.1,1.01%
2015,14.2,64.1,31.8,3.18%,15.3,1.53%,56.7,5.67%,100.2,10.02%,102.0,10.20%,81.6,8.16%,43.6,4.36%,10.7,1.07%
2016,14.0,63.3,29.3,2.93%,13.7,1.37%,52.6,5.26%,95.7,9.57%,100.7,10.07%,82.9,8.29%,45.0,4.50%,11.1,1.11%
2016 (single race),14.0,63.3,29.3,2.93%,13.7,1.37%,52.5,5.25%,95.8,9.58%,100.8,10.08%,83.0,8.30%,45.0,4.50%,11.1,1.11%
2017,13.9,63.2,27.6,2.76%,12.5,1.25%,50.0,5.00%,94.2,9.42%,99.5,9.95%,84.3,8.43%,46.1,4.61%,11.7,1.17%
2017 (single race),13.9,63.1,27.5,2.75%,12.5,1.25%,49.8,4.98%,94.2,9.42%,99.5,9.95%,84.5,8.45%,46.1,4.61%,11.7,1.17%
2018,13.6,62.1,26.2,2.62%,11.8,1.18%,46.9,4.69%,90.0,9.00%,97.0,9.70%,84.0,8.40%,47.1,4.71%,12.3,1.23%
2018 (single race),13.6,62.0,26.3,2.63%,11.9,1.19%,46.9,4.69%,90.0,9.00%,97.1,9.71%,84.1,8.41%,47.1,4.71%,12.3,1.23%
2019,13.5,61.5,25.8,2.58%,11.1,1.11%,46.6,4.66%,88.5,8.85%,96.4,9.64%,82.8,8.28%,47.7,4.77%,12.6,1.26%
2019 (single race),13.4,61.4,25.8,2.58%,11.1,1.11%,46.4,4.64%,88.3,8.83%,96.4,9.64%,82.9,8.29%,47.6,4.76%,12.6,1.26%
