Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),15–17 years,15-17 years (percentage),18–19 years,18-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage)
2000,16.6,69.7,69.3,6.93%,40.3,4.03%,116.3,11.63%,143.8,14.38%,112.2,11.22%,66.8,6.68%,28.4,2.84%,6.4,0.64%
2001,16.5,69.9,66.4,6.64%,36.6,3.66%,113.1,11.31%,143.0,14.30%,114.5,11.45%,68.2,6.82%,29.3,2.93%,6.4,0.64%
2002,16.5,70.4,63.4,6.34%,36.0,3.60%,105.7,10.57%,141.1,14.11%,118.2,11.82%,70.1,7.01%,30.3,3.03%,6.7,0.67%
2003,16.6,64.4,17.2,1.72%,8.5,0.85%,29.1,2.91%,55.6,5.56%,104.2,10.42%,114.9,11.49%,59.0,5.90%,12.8,1.28%
2004,16.6,71.7,61.4,6.14%,34.4,3.44%,103.7,10.37%,138.9,13.89%,121.3,12.13%,71.7,7.17%,32.0,3.20%,6.9,0.69%
2005,16.7,72.8,60.8,6.08%,34.5,3.45%,103.3,10.33%,137.7,13.77%,124.1,12.41%,74.6,7.46%,32.6,3.26%,7.0,0.70%
2006,17.3,76.0,62.4,6.24%,34.1,3.41%,108.5,10.85%,144.8,14.48%,128.4,12.84%,76.5,7.65%,33.5,3.35%,7.1,0.71%
2007,17.4,77.2,66.3,6.63%,34.4,3.44%,117.2,11.72%,144.8,14.48%,126.2,12.62%,78.2,7.82%,34.0,3.40%,6.9,0.69%
2008,17.1,76.7,65.0,6.50%,35.0,3.50%,110.4,11.04%,144.6,14.46%,123.0,12.30%,77.3,7.73%,33.2,3.32%,7.1,0.71%
2009,16.6,75.0,62.0,6.20%,32.8,3.28%,105.0,10.50%,138.9,13.89%,118.6,11.86%,77.7,7.77%,33.5,3.35%,7.2,0.72%
2010,15.8,72.1,55.5,5.55%,28.2,2.82%,95.0,9.50%,136.0,13.60%,113.6,11.36%,74.6,7.46%,33.0,3.30%,7.2,0.72%
2011,15.3,70.2,52.6,5.26%,26.4,2.64%,88.9,8.89%,127.2,12.72%,113.1,11.31%,70.9,7.09%,34.0,3.40%,7.2,0.72%
2012,15.0,69.4,51.2,5.12%,24.5,2.45%,88.8,8.88%,119.2,11.92%,110.1,11.01%,75.3,7.53%,34.9,3.49%,7.6,0.76%
2013,14.7,68.2,44.9,4.49%,22.2,2.22%,77.8,7.78%,113.5,11.35%,111.5,11.15%,76.2,7.62%,36.9,3.69%,7.5,0.75%
2014,14.2,66.1,39.3,3.93%,19.0,1.90%,69.9,6.99%,106.0,10.60%,110.1,11.01%,78.4,7.84%,36.1,3.61%,7.9,0.79%
2015,13.8,64.6,37.6,3.76%,18.5,1.85%,66.8,6.68%,101.9,10.19%,106.7,10.67%,76.4,7.64%,37.8,3.78%,8.1,0.81%
2016,13.5,63.2,34.7,3.47%,16.4,1.64%,62.1,6.21%,96.9,9.69%,104.5,10.45%,78.0,7.80%,38.0,3.80%,8.4,0.84%
2016 (single race),13.3,62.7,35.1,3.51%,16.8,1.68%,62.6,6.26%,97.2,9.72%,103.4,10.34%,77.1,7.71%,37.1,3.71%,8.2,0.82%
2017,12.8,60.0,32.2,3.22%,15.3,1.53%,57.0,5.70%,92.9,9.29%,97.4,9.74%,73.7,7.37%,37.0,3.70%,8.3,0.83%
2017 (single race),12.6,59.5,32.9,3.29%,15.7,1.57%,58.1,5.81%,93.6,9.36%,96.4,9.64%,72.1,7.21%,36.3,3.63%,8.2,0.82%
2018,12.4,58.4,29.4,2.94%,13.5,1.35%,52.3,5.23%,87.5,8.75%,95.9,9.59%,74.5,7.45%,37.1,3.71%,8.4,0.84%
2018 (single race),12.2,57.7,29.7,2.97%,13.5,1.35%,52.9,5.29%,87.7,8.77%,94.4,9.44%,73.2,7.32%,36.1,3.61%,8.3,0.83%
2019,12.0,56.6,28.5,2.85%,13.1,1.31%,50.9,5.09%,86.1,8.61%,89.5,8.95%,73.3,7.33%,37.6,3.76%,8.2,0.82%
2019 (single race),11.9,56.2,29.2,2.92%,13.5,1.35%,51.8,5.18%,86.7,8.67%,89.1,8.91%,72.0,7.20%,36.6,3.66%,8.0,0.80%
