Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),15–17 years,15-17 years (percentage),18–19 years,18-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage)
2000,13.9,65.3,43.2,4.32%,23.3,2.33%,72.3,7.23%,106.6,10.66%,116.7,11.67%,94.6,9.46%,40.2,4.02%,7.9,0.79%
2001,13.7,65.0,41.0,4.10%,21.4,2.14%,70.4,7.04%,103.4,10.34%,117.8,11.78%,95.9,9.59%,41.4,4.14%,8.0,0.80%
2002,13.6,65.1,39.2,3.92%,20.4,2.04%,67.7,6.77%,101.6,10.16%,119.0,11.90%,96.7,9.67%,42.6,4.26%,8.2,0.82%
2003,13.7,66.4,38.0,3.80%,19.6,1.96%,65.6,6.56%,100.9,10.09%,121.3,12.13%,100.1,10.01%,45.0,4.50%,8.7,0.87%
2004,13.6,66.5,37.4,3.74%,19.4,1.94%,64.4,6.44%,99.8,9.98%,120.8,12.08%,100.3,10.03%,46.7,4.67%,8.9,0.89%
2005,13.6,66.8,36.7,3.67%,18.8,1.88%,64.0,6.40%,99.9,9.99%,120.7,12.07%,100.7,10.07%,47.6,4.76%,9.0,0.90%
2006,13.8,68.7,37.9,3.79%,19.2,1.92%,66.7,6.67%,103.4,10.34%,122.0,12.20%,102.7,10.27%,48.6,4.86%,9.3,0.93%
2007,13.8,69.4,38.4,3.84%,19.5,1.95%,67.2,6.72%,103.5,10.35%,122.0,12.20%,104.4,10.44%,48.5,4.85%,9.5,0.95%
2008,13.5,68.3,37.3,3.73%,19.1,1.91%,64.0,6.40%,99.8,9.98%,118.8,11.88%,103.3,10.33%,47.5,4.75%,9.7,0.97%
2009,13.0,66.4,35.3,3.53%,17.8,1.78%,60.2,6.02%,94.1,9.41%,114.9,11.49%,101.3,10.13%,46.7,4.67%,9.9,0.99%
2010,12.5,64.4,31.9,3.19%,15.8,1.58%,54.8,5.48%,87.9,8.79%,111.9,11.19%,100.5,10.05%,46.4,4.64%,10.0,1.00%
2011,12.2,63.4,29.1,2.91%,14.1,1.41%,50.8,5.08%,83.0,8.30%,110.2,11.02%,100.1,10.01%,47.6,4.76%,10.1,1.01%
2012,12.1,63.0,27.4,2.74%,13.0,1.30%,48.3,4.83%,80.8,8.08%,109.2,10.92%,100.2,10.02%,48.5,4.85%,10.0,1.00%
2013,12.0,62.7,24.9,2.49%,11.3,1.13%,44.7,4.47%,78.5,7.85%,108.3,10.83%,101.3,10.13%,49.6,4.96%,10.1,1.01%
2014,12.0,63.2,23.0,2.30%,10.2,1.02%,42.0,4.20%,77.3,7.73%,108.6,10.86%,103.9,10.39%,51.2,5.12%,10.2,1.02%
2015,12.0,63.1,21.3,2.13%,9.2,0.92%,39.3,3.93%,75.3,7.53%,107.6,10.76%,104.8,10.48%,52.2,5.22%,10.6,1.06%
2016,11.7,61.8,19.1,1.91%,8.1,0.81%,35.6,3.56%,71.8,7.18%,103.7,10.37%,104.7,10.47%,52.3,5.23%,10.9,1.09%
2016 (single race),11.7,62.0,19.1,1.91%,8.1,0.81%,35.7,3.57%,72.0,7.20%,104.1,10.41%,105.1,10.51%,52.4,5.24%,10.9,1.09%
2017,11.3,59.8,17.6,1.76%,7.1,0.71%,33.2,3.32%,68.7,6.87%,99.4,9.94%,102.1,10.21%,51.6,5.16%,11.0,1.10%
2017 (single race),11.3,60.0,17.6,1.76%,7.1,0.71%,33.2,3.32%,68.9,6.89%,99.8,9.98%,102.5,10.25%,51.7,5.17%,11.0,1.10%
2018,11.1,59.2,16.5,1.65%,6.6,0.66%,30.9,3.09%,66.8,6.68%,97.7,9.77%,102.3,10.23%,52.4,5.24%,11.4,1.14%
2018 (single race),11.1,59.5,16.5,1.65%,6.6,0.66%,30.9,3.09%,67.0,6.70%,98.1,9.81%,102.7,10.27%,52.5,5.25%,11.4,1.14%
2019,10.9,58.2,15.5,1.55%,6.1,0.61%,29.3,2.93%,65.2,6.52%,95.8,9.58%,100.9,10.09%,52.4,5.24%,11.5,1.15%
2019 (single race),11.0,58.5,15.6,1.56%,6.1,0.61%,29.4,2.94%,65.4,6.54%,96.3,9.63%,101.3,10.13%,52.5,5.25%,11.5,1.15%
