Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),15–17 years,15-17 years (percentage),18–19 years,18-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage)
2000,12.2,58.5,32.6,3.26%,15.8,1.58%,57.5,5.75%,91.2,9.12%,109.4,10.94%,93.2,9.32%,38.8,3.88%,7.3,0.73%
2001,11.9,57.7,30.3,3.03%,14.0,1.40%,54.7,5.47%,87.0,8.70%,109.6,10.96%,94.3,9.43%,39.8,3.98%,7.5,0.75%
2002,11.7,57.6,28.6,2.86%,13.1,1.31%,52.0,5.20%,84.7,8.47%,110.4,11.04%,95.0,9.50%,40.9,4.09%,7.7,0.77%
2003,11.8,58.9,27.4,2.74%,12.4,1.24%,50.0,5.00%,84.1,8.41%,112.7,11.27%,98.4,9.84%,43.5,4.35%,8.1,0.81%
2004,11.7,58.9,26.7,2.67%,12.0,1.20%,48.6,4.86%,83.0,8.30%,112.1,11.21%,98.3,9.83%,45.1,4.51%,8.3,0.83%
2005,11.6,59.0,26.0,2.60%,11.5,1.15%,48.0,4.80%,82.7,8.27%,111.7,11.17%,98.4,9.84%,46.0,4.60%,8.3,0.83%
2006,11.7,60.3,26.7,2.67%,11.8,1.18%,49.4,4.94%,85.1,8.51%,112.2,11.22%,100.0,10.00%,46.8,4.68%,8.5,0.85%
2007,11.7,61.0,27.2,2.72%,11.9,1.19%,50.4,5.04%,85.1,8.51%,112.0,11.20%,101.5,10.15%,46.3,4.63%,8.7,0.87%
2008,11.5,60.5,26.7,2.67%,11.6,1.16%,48.6,4.86%,82.8,8.28%,109.7,10.97%,100.8,10.08%,45.2,4.52%,8.9,0.89%
2009,11.2,59.6,25.7,2.57%,11.0,1.10%,46.2,4.62%,79.2,7.92%,107.1,10.71%,99.7,9.97%,44.4,4.44%,9.1,0.91%
2010,10.9,58.7,23.5,2.35%,10.0,1.00%,42.5,4.25%,74.9,7.49%,105.8,10.58%,99.9,9.99%,44.1,4.41%,9.2,0.92%
2011,10.8,58.7,21.7,2.17%,9.0,0.90%,39.9,3.99%,71.8,7.18%,105.2,10.52%,100.1,10.01%,45.8,4.58%,9.3,0.93%
2012,10.7,58.6,20.5,2.05%,8.4,0.84%,37.9,3.79%,70.2,7.02%,104.4,10.44%,100.5,10.05%,46.8,4.68%,9.1,0.91%
2013,10.7,58.7,18.6,1.86%,7.4,0.74%,35.0,3.50%,68.3,6.83%,103.5,10.35%,101.9,10.19%,48.0,4.80%,9.1,0.91%
2014,10.8,59.5,17.3,1.73%,6.7,0.67%,32.9,3.29%,67.1,6.71%,103.9,10.39%,104.7,10.47%,49.6,4.96%,9.1,0.91%
2015,10.7,59.3,16.0,1.60%,6.0,0.60%,30.6,3.06%,65.0,6.50%,102.3,10.23%,105.1,10.51%,50.6,5.06%,9.4,0.94%
2016,10.5,58.8,14.4,1.44%,5.3,0.53%,27.9,2.79%,62.5,6.25%,99.1,9.91%,106.0,10.60%,51.0,5.10%,9.8,0.98%
2016 (single race),10.5,58.8,14.3,1.43%,5.2,0.52%,27.7,2.77%,62.4,6.24%,99.3,9.93%,106.2,10.62%,51.1,5.11%,9.7,0.97%
2017,10.2,57.1,13.4,1.34%,4.6,0.46%,26.2,2.62%,59.9,5.99%,95.1,9.51%,103.4,10.34%,50.6,5.06%,10.0,1.00%
2017 (single race),10.2,57.2,13.2,1.32%,4.6,0.46%,26.0,2.60%,59.8,5.98%,95.3,9.53%,103.7,10.37%,50.6,5.06%,9.9,0.99%
2018,10.0,56.2,12.2,1.22%,4.2,0.42%,23.8,2.38%,57.9,5.79%,92.7,9.27%,102.8,10.28%,51.1,5.11%,10.2,1.02%
2018 (single race),10.0,56.3,12.1,1.21%,4.1,0.41%,23.6,2.36%,57.8,5.78%,92.9,9.29%,103.1,10.31%,51.1,5.11%,10.2,1.02%
2019,9.8,55.2,11.5,1.15%,3.9,0.39%,22.5,2.25%,56.2,5.62%,90.5,9.05%,101.1,10.11%,51.0,5.10%,10.4,1.04%
2019 (single race),9.8,55.3,11.4,1.14%,3.8,0.38%,22.3,2.23%,56.1,5.61%,90.8,9.08%,101.5,10.15%,51.1,5.11%,10.3,1.03%
