Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage),
2000,17.1,65.8,20.5,2.05%,60.3,6.03%,108.4,10.84%,116.5,11.65%,59.0,5.90%,12.6,1.26%,
2001,16.1,62.5,19.3,1.93%,56.0,5.60%,102.3,10.23%,109.9,10.99%,56.2,5.62%,12.2,1.22%,
2002,16.3,63.3,17.7,1.77%,55.5,5.55%,102.4,10.24%,112.5,11.25%,57.8,5.78%,12.6,1.26%,
2003,16.4,64.2,16.4,1.64%,54.3,5.43%,102.7,10.27%,115.9,11.59%,60.0,6.00%,13.4,1.34%,
2004,16.4,64.5,16.0,1.60%,53.3,5.33%,100.4,10.04%,118.3,11.83%,62.2,6.22%,13.6,1.36%,
2005,15.9,63.0,15.4,1.54%,52.9,5.29%,96.6,9.66%,115.3,11.53%,61.8,6.18%,13.7,1.37%,
2006,16.0,63.7,15.3,1.53%,53.8,5.38%,95.7,9.57%,117.3,11.73%,63.4,6.34%,14.0,1.40%,
2007,16.4,65.3,14.8,1.48%,53.2,5.32%,99.2,9.92%,121.6,12.16%,65.8,6.58%,14.2,1.42%,
2008,15.7,63.3,13.8,1.38%,50.4,5.04%,96.6,9.66%,117.7,11.77%,64.9,6.49%,14.7,1.47%,
2009,15.1,61.3,12.6,1.26%,46.4,4.64%,94.6,9.46%,115.1,11.51%,63.8,6.38%,14.9,1.49%,
2010,14.5,59.2,10.9,1.09%,42.6,4.26%,91.5,9.15%,113.6,11.36%,62.8,6.28%,15.1,1.51%,
2011,14.5,59.9,10.2,1.02%,41.9,4.19%,93.7,9.37%,114.9,11.49%,64.1,6.41%,15.2,1.52%,
2012,15.1,62.2,9.7,0.97%,41.4,4.14%,95.8,9.58%,121.3,12.13%,68.1,6.81%,16.1,1.61%,
2013,14.3,59.2,8.7,0.87%,39.1,3.91%,89.5,8.95%,114.6,11.46%,66.6,6.66%,16.1,1.61%,
2014,14.6,60.7,7.7,0.77%,37.5,3.75%,90.0,9.00%,121.3,12.13%,68.9,6.89%,16.1,1.61%,
2015,14.0,58.5,6.9,0.69%,35.6,3.56%,84.1,8.41%,117.4,11.74%,67.6,6.76%,15.9,1.59%,
2016,14.8,62.1,7.3,0.73%,37.3,3.73%,89.7,8.97%,124.8,12.48%,71.7,7.17%,16.5,1.65%,
2017,14.0,59.3,6.6,0.66%,35.3,3.53%,82.7,8.27%,118.4,11.84%,70.7,7.07%,16.5,1.65%,
2018,13.0,55.2,4.9,0.49%,30.0,3.00%,74.0,7.40%,112.7,11.27%,68.4,6.84%,15.8,1.58%,
2019,13.0,55.6,4.3,0.43%,28.0,2.80%,73.0,7.30%,113.5,11.35%,69.7,6.97%,16.3,1.63%,
,,,,,,,,,,,,,,,
,,SUM,239.0,,904.8,,1862.9,,2332.6,,1293.5,,295.5,,6928.4
