Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage),
2000,17.3,66.5,19.8,1.98%,60.2,6.02%,110.0,11.00%,118.5,11.85%,60.0,6.00%,12.7,1.27%,
2001,16.4,63.4,18.8,1.88%,56.1,5.61%,104.1,10.41%,112.1,11.21%,57.3,5.73%,12.3,1.23%,
2002,16.6,64.4,17.2,1.72%,55.6,5.56%,104.2,10.42%,114.9,11.49%,59.0,5.90%,12.8,1.28%,
2003,16.4,64.2,16.4,1.64%,54.3,5.43%,102.7,10.27%,115.9,11.59%,60.0,6.00%,13.4,1.34%,
2004,16.5,64.6,14.5,1.45%,51.3,5.13%,100.9,10.09%,120.0,12.00%,63.1,6.31%,13.7,1.37%,
2005,15.9,62.9,13.7,1.37%,50.5,5.05%,96.5,9.65%,116.8,11.68%,62.5,6.25%,13.8,1.38%,
2006,16.1,63.9,13.8,1.38%,51.6,5.16%,96.1,9.61%,119.2,11.92%,64.4,6.44%,14.3,1.43%,
2007,16.5,65.8,13.4,1.34%,51.5,5.15%,100.0,10.00%,124.1,12.41%,66.9,6.69%,14.4,1.44%,
2008,15.9,63.9,12.4,1.24%,48.9,4.89%,97.6,9.76%,120.1,12.01%,66.0,6.60%,14.9,1.49%,
2009,15.3,61.9,11.3,1.13%,44.9,4.49%,95.5,9.55%,117.7,11.77%,65.0,6.50%,15.1,1.51%,
2010,14.7,60.0,9.9,0.99%,41.5,4.15%,92.7,9.27%,116.4,11.64%,64.1,6.41%,15.4,1.54%,
2011,14.7,60.5,9.0,0.90%,40.4,4.04%,94.7,9.47%,117.4,11.74%,65.3,6.53%,15.4,1.54%,
2012,15.3,62.9,8.5,0.85%,39.9,3.99%,97.0,9.70%,124.0,12.40%,69.4,6.94%,16.3,1.63%,
2013,14.4,59.9,7.8,0.78%,37.7,3.77%,90.5,9.05%,117.0,11.70%,67.9,6.79%,16.3,1.63%,
2014,14.8,61.5,6.8,0.68%,36.2,3.62%,90.9,9.09%,123.8,12.38%,70.4,7.04%,16.4,1.64%,
2015,14.2,59.1,6.0,0.60%,34.2,3.42%,84.6,8.46%,119.7,11.97%,68.9,6.89%,16.1,1.61%,
2016,14.5,60.8,5.2,0.52%,32.8,3.28%,87.4,8.74%,124.7,12.47%,71.5,7.15%,16.3,1.63%,
2017,13.7,57.9,4.6,0.46%,30.7,3.07%,80.3,8.03%,117.9,11.79%,70.3,7.03%,16.3,1.63%,
2018,13.2,55.7,4.0,0.40%,28.4,2.84%,74.2,7.42%,114.6,11.46%,69.6,6.96%,16.1,1.61%,
2019,13.1,55.9,3.5,0.35%,26.3,2.63%,73.0,7.30%,115.0,11.50%,70.6,7.06%,16.4,1.64%,
,,,,,,,,,,,,,,,
,,SUM,216.6,,873.0,,1872.9,,2369.8,,1312.2,,298.4,,6943.0
