Year,Crude birth rate,Fertility rate,15–19 years,15-19 years (percentage),20–24 years,20-24 years (percentage),25–29 years,25-29 years (percentage),30–34 years,30-34 years (percentage),35–39 years,35-39 years (percentage),40–44 years,40-44 years (percentage),
2000,13.9,65.3,43.2,4.32%,106.6,10.66%,116.7,11.67%,94.6,9.46%,40.2,4.02%,7.9,0.79%,
2001,13.7,65.0,41.0,4.10%,103.4,10.34%,117.8,11.78%,95.9,9.59%,41.4,4.14%,8.0,0.80%,
2002,13.6,65.1,39.2,3.92%,101.6,10.16%,119.0,11.90%,96.7,9.67%,42.6,4.26%,8.2,0.82%,
2003,13.7,66.4,38.0,3.80%,100.9,10.09%,121.3,12.13%,100.1,10.01%,45.0,4.50%,8.7,0.87%,
2004,13.6,66.5,37.4,3.74%,99.8,9.98%,120.8,12.08%,100.3,10.03%,46.7,4.67%,8.9,0.89%,
2005,13.6,66.8,36.7,3.67%,99.9,9.99%,120.7,12.07%,100.7,10.07%,47.6,4.76%,9.0,0.90%,
2006,13.8,68.7,37.9,3.79%,103.4,10.34%,122.0,12.20%,102.7,10.27%,48.6,4.86%,9.3,0.93%,
2007,13.8,69.4,38.4,3.84%,103.5,10.35%,122.0,12.20%,104.4,10.44%,48.5,4.85%,9.5,0.95%,
2008,13.5,68.3,37.3,3.73%,99.8,9.98%,118.8,11.88%,103.3,10.33%,47.5,4.75%,9.7,0.97%,
2009,13.0,66.4,35.3,3.53%,94.1,9.41%,114.9,11.49%,101.3,10.13%,46.7,4.67%,9.9,0.99%,
2010,12.5,64.4,31.9,3.19%,87.9,8.79%,111.9,11.19%,100.5,10.05%,46.4,4.64%,10.0,1.00%,
2011,12.2,63.4,29.1,2.91%,83.0,8.30%,110.2,11.02%,100.1,10.01%,47.6,4.76%,10.1,1.01%,
2012,12.1,63.0,27.4,2.74%,80.8,8.08%,109.2,10.92%,100.2,10.02%,48.5,4.85%,10.0,1.00%,
2013,12.0,62.7,24.9,2.49%,78.5,7.85%,108.3,10.83%,101.3,10.13%,49.6,4.96%,10.1,1.01%,
2014,12.0,63.2,23.0,2.30%,77.3,7.73%,108.6,10.86%,103.9,10.39%,51.2,5.12%,10.2,1.02%,
2015,12.0,63.1,21.3,2.13%,75.3,7.53%,107.6,10.76%,104.8,10.48%,52.2,5.22%,10.6,1.06%,
2016,11.7,61.8,19.1,1.91%,71.8,7.18%,103.7,10.37%,104.7,10.47%,52.3,5.23%,10.9,1.09%,
2017,11.3,59.8,17.6,1.76%,68.7,6.87%,99.4,9.94%,102.1,10.21%,51.6,5.16%,11.0,1.10%,
2018,11.1,59.2,16.5,1.65%,66.8,6.68%,97.7,9.77%,102.3,10.23%,52.4,5.24%,11.4,1.14%,
2019,10.9,58.2,15.5,1.55%,65.2,6.52%,95.8,9.58%,100.9,10.09%,52.4,5.24%,11.5,1.15%,
,,,,,,,,,,,,,,,
,,SUM,610.7,,1768.3,,2246.4,,2020.8,,959.0,,194.9,,7800.2
