Notes,Census Region,Census Region Code,State,State Code,Births,% of Total Births,Total Population,Birth Rate,Average Age of Mother
,Census Region 1: Northeast,CENS-R1,Connecticut,9,514278,0.93%,50023046,10.28,29.84
,Census Region 1: Northeast,CENS-R1,Maine,23,178384,0.32%,18660742,9.56,28.31
,Census Region 1: Northeast,CENS-R1,Massachusetts,25,1010336,1.82%,93791926,10.77,30.27
,Census Region 1: Northeast,CENS-R1,New Hampshire,33,176444,0.32%,18640844,9.47,29.2
,Census Region 1: Northeast,CENS-R1,Rhode Island,44,153772,0.28%,14772973,10.41,28.91
,Census Region 1: Northeast,CENS-R1,Vermont,50,82617,0.15%,8751752,9.44,28.9
,Census Region 1: Northeast,CENS-R1,New Jersey,34,1467805,2.65%,124040937,11.83,29.99
,Census Region 1: Northeast,CENS-R1,New York,36,3312709,5.97%,273185776,12.13,29.52
,Census Region 1: Northeast,CENS-R1,Pennsylvania,42,1977419,3.57%,178397461,11.08,28.5
Total,Census Region 1: Northeast,CENS-R1,,,8873764,16.00%,780265457,11.37,29.43
,Census Region 2: Midwest,CENS-R2,Illinois,17,2210145,3.99%,179041529,12.34,28.67
,Census Region 2: Midwest,CENS-R2,Indiana,18,1173751,2.12%,92068146,12.75,27.29
,Census Region 2: Midwest,CENS-R2,Michigan,26,1593221,2.87%,139060964,11.46,27.98
,Census Region 2: Midwest,CENS-R2,Ohio,39,1951440,3.52%,162293570,12.02,27.66
,Census Region 2: Midwest,CENS-R2,Wisconsin,55,939883,1.69%,80360648,11.7,28.39
,Census Region 2: Midwest,CENS-R2,Iowa,19,544090,0.98%,43308287,12.56,27.88
,Census Region 2: Midwest,CENS-R2,Kansas,20,543685,0.98%,40303481,13.49,27.54
,Census Region 2: Midwest,CENS-R2,Minnesota,27,966648,1.74%,76135207,12.7,29.07
,Census Region 2: Midwest,CENS-R2,Missouri,29,1058257,1.91%,84607611,12.51,27.42
,Census Region 2: Midwest,CENS-R2,Nebraska,31,364951,0.66%,26191637,13.93,28.1
,Census Region 2: Midwest,CENS-R2,North Dakota,38,142057,0.26%,10052105,14.13,27.88
,Census Region 2: Midwest,CENS-R2,South Dakota,46,167605,0.30%,11820682,14.18,27.63
Total,Census Region 2: Midwest,CENS-R2,,,11655733,21.02%,945243867,12.33,28.03
,Census Region 3: South,CENS-R3,Delaware,10,155854,0.28%,13018559,11.97,28.25
,Census Region 3: South,CENS-R3,District of Columbia,11,129851,0.23%,9072642,14.31,29.6
,Census Region 3: South,CENS-R3,Florida,12,3092690,5.58%,278548853,11.1,28.29
,Census Region 3: South,CENS-R3,Georgia,13,1861152,3.36%,140789520,13.22,27.7
,Census Region 3: South,CENS-R3,Maryland,24,1024299,1.85%,82679611,12.39,29.23
,Census Region 3: South,CENS-R3,North Carolina,37,1707424,3.08%,138548569,12.32,27.79
,Census Region 3: South,CENS-R3,South Carolina,45,815799,1.47%,67531131,12.08,27.29
,Census Region 3: South,CENS-R3,Virginia,51,1432918,2.58%,115289210,12.43,28.82
,Census Region 3: South,CENS-R3,West Virginia,54,279169,0.50%,25664391,10.88,26.53
,Census Region 3: South,CENS-R3,Alabama,1,839038,1.51%,67546196,12.42,26.75
,Census Region 3: South,CENS-R3,Kentucky,21,778893,1.40%,61491095,12.67,26.83
,Census Region 3: South,CENS-R3,Mississippi,28,553062,1.00%,41645575,13.28,26.09
,Census Region 3: South,CENS-R3,Tennessee,47,1138928,2.05%,91433683,12.46,27.09
,Census Region 3: South,CENS-R3,Arkansas,5,537313,0.97%,41381699,12.98,26.32
,Census Region 3: South,CENS-R3,Louisiana,22,875921,1.58%,64278875,13.63,26.75
,Census Region 3: South,CENS-R3,Oklahoma,40,731862,1.32%,53753791,13.62,26.62
,Census Region 3: South,CENS-R3,Texas,48,5456680,9.84%,373922170,14.59,27.47
Total,Census Region 3: South,CENS-R3,,,21410853,38.61%,1666595570,12.85,27.61
,Census Region 4: West,CENS-R4,Arizona,4,1215957,2.19%,94224252,12.9,27.62
,Census Region 4: West,CENS-R4,Colorado,8,921726,1.66%,74489892,12.37,28.75
,Census Region 4: West,CENS-R4,Idaho,16,320119,0.58%,23011958,13.91,27.49
,Census Region 4: West,CENS-R4,Montana,30,168393,0.30%,14294224,11.78,27.73
,Census Region 4: West,CENS-R4,Nevada,32,508052,0.92%,39833155,12.75,28.01
,Census Region 4: West,CENS-R4,New Mexico,35,366579,0.66%,28988104,12.65,26.77
,Census Region 4: West,CENS-R4,Utah,49,711272,1.28%,41030275,17.34,28.03
,Census Region 4: West,CENS-R4,Wyoming,56,102988,0.19%,8005524,12.86,27.14
,Census Region 4: West,CENS-R4,Alaska,2,153083,0.28%,10123174,15.12,27.7
,Census Region 4: West,CENS-R4,California,6,6932761,12.50%,536307030,12.93,29.07
,Census Region 4: West,CENS-R4,Hawaii,15,255516,0.46%,19476711,13.12,28.81
,Census Region 4: West,CENS-R4,Oregon,41,630766,1.14%,55717530,11.32,28.61
,Census Region 4: West,CENS-R4,Washington,53,1225875,2.21%,98883960,12.4,28.84
Total,Census Region 4: West,CENS-R4,,,13513087,24.37%,1044385789,12.94,28.63
Total,,,,,55453437,100.00%,4436490683,12.5,28.24
---,,,,,,,,,
"Dataset: Natality, 2007-2020",,,,,,,,,
Query Parameters:,,,,,,,,,
Group By: Census Region; State,,,,,,,,,
Show Totals: True,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 1,000",,,,,,,,,
Population Option: Default intercensal populations for years 2007-2009,,,,,,,,,
---,,,,,,,,,
