Start_Year,End_Year,All,Asian_not_HL_Single_Race,Asian_PI,Asian_PI_not_HL,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race,Hispanic_Latina,Native,Native_not_HL,Native_not_HL_Single_Race,White,White_Single_Race,White_not_HL,White_not_HL_Single_Race
,2000,,,,,,,,,,,,,,,,
2000,2001,-0.24%,,-0.15%,-0.13%,-0.53%,,-0.53%,,-0.36%,-0.39%,-0.37%,,-0.19%,,-0.18%,
2001,2002,-0.14%,,-0.13%,-0.13%,-0.42%,,-0.42%,,-0.26%,-0.14%,-0.06%,,-0.10%,,-0.09%,
2002,2003,-0.09%,,-0.03%,0.00%,-0.20%,,-0.24%,,-0.17%,-0.09%,-2.75%,,-0.08%,,-0.07%,
2003,2004,-0.04%,,-0.01%,-0.11%,-0.12%,,-0.18%,,-0.03%,-0.12%,2.59%,,-0.02%,,-0.04%,
2004,2005,-0.07%,,-0.07%,-0.07%,-0.18%,,-0.23%,,-0.15%,-0.04%,0.01%,,-0.06%,,-0.05%,
2005,2006,0.05%,,0.05%,0.06%,0.08%,,0.11%,,-0.07%,-0.04%,-0.04%,,0.04%,,0.03%,
2006,2007,0.01%,,-0.08%,-0.07%,-0.06%,,-0.06%,,-0.07%,0.02%,0.03%,,0.03%,,0.01%,
2007,2008,-0.06%,,-0.04%,-0.05%,-0.12%,,-0.10%,,-0.22%,-0.03%,0.06%,,-0.04%,,-0.03%,
2008,2009,-0.15%,,-0.07%,-0.05%,-0.26%,,-0.26%,,-0.49%,-0.22%,-0.22%,,-0.13%,,-0.06%,
2009,2010,-0.23%,,-0.12%,-0.12%,-0.36%,,-0.36%,,-0.50%,-0.35%,-0.46%,,-0.20%,,-0.10%,
2010,2011,-0.19%,,-0.05%,-0.05%,-0.26%,,-0.28%,,-0.43%,-0.19%,-0.18%,,-0.17%,,-0.10%,
2011,2012,-0.13%,,-0.05%,-0.04%,-0.27%,,-0.27%,,-0.25%,-0.12%,-0.19%,,-0.11%,,-0.06%,
2012,2013,-0.18%,,-0.04%,-0.03%,-0.30%,,-0.30%,,-0.35%,-0.11%,-0.23%,,-0.17%,,-0.10%,
2013,2014,-0.14%,,-0.04%,-0.04%,-0.23%,,-0.23%,,-0.27%,-0.27%,-0.32%,,-0.11%,,-0.07%,
2014,2015,-0.10%,,-0.06%,-0.05%,-0.14%,,-0.13%,,-0.19%,-0.05%,-0.05%,,-0.10%,,-0.07%,
2015,2016,-0.11%,,0.02%,-0.05%,-0.12%,,-0.16%,,-0.18%,-0.98%,-0.21%,,-0.11%,,-0.07%,
2016,2017,-0.09%,-0.03%,-0.04%,-0.03%,-0.11%,-0.12%,-0.12%,-0.12%,-0.20%,,-0.11%,-0.11%,-0.10%,-0.10%,-0.07%,-0.06%
2017,2018,-0.07%,-0.01%,-0.07%,-0.01%,-0.11%,-0.11%,-0.07%,-0.06%,-0.12%,,-0.18%,-0.22%,-0.05%,-0.05%,-0.04%,-0.05%
2018,2019,-0.05%,-0.01%,-0.02%,-0.02%,-0.06%,-0.06%,-0.07%,-0.08%,-0.09%,,-0.04%,0.00%,-0.05%,-0.05%,-0.03%,-0.03%
