Start_Year,End_Year,All,Asian_PI,Asian_PI_not_HL,Black,Black_not_HL,Hispanic_Latina,Native,Native_not_HL,White,White_not_HL,
,2000,,,,,,,,,,,
2000,2001,0.08%,-0.28%,-0.27%,0.01%,0.02%,0.13%,-0.06%,0.09%,0.12%,0.10%,
2001,2002,0.11%,0.16%,0.17%,0.00%,0.01%,0.09%,0.01%,0.10%,0.12%,0.11%,
2002,2003,0.23%,0.22%,0.10%,0.15%,0.13%,0.13%,-0.08%,2.87%,0.24%,0.26%,
2003,2004,0.16%,0.22%,0.31%,0.07%,0.02%,0.21%,0.06%,-2.70%,0.17%,0.16%,
2004,2005,0.09%,-0.04%,-0.06%,0.13%,0.06%,0.11%,-0.06%,0.06%,0.09%,0.09%,
2005,2006,0.11%,0.16%,0.19%,0.12%,0.17%,0.13%,0.06%,0.09%,0.10%,0.08%,
2006,2007,0.01%,0.24%,0.25%,0.01%,0.03%,0.04%,0.04%,0.05%,-0.01%,-0.05%,
2007,2008,-0.08%,-0.09%,-0.09%,0.00%,0.01%,-0.10%,-0.12%,-0.08%,-0.10%,-0.11%,
2008,2009,-0.07%,-0.11%,-0.10%,-0.02%,-0.02%,-0.15%,-0.05%,0.03%,-0.08%,-0.08%,
2009,2010,-0.02%,-0.10%,-0.09%,0.02%,0.03%,-0.08%,-0.03%,-0.05%,-0.03%,-0.03%,
2010,2011,0.13%,0.13%,0.12%,0.16%,0.14%,-0.04%,0.08%,0.10%,0.12%,0.17%,
2011,2012,0.11%,0.40%,0.41%,0.12%,0.11%,0.03%,0.02%,0.09%,0.09%,0.10%,
2012,2013,0.10%,-0.15%,-0.15%,0.13%,0.14%,0.08%,0.14%,0.20%,0.11%,0.12%,
2013,2014,0.17%,0.23%,0.25%,0.21%,0.22%,0.12%,-0.06%,-0.08%,0.16%,0.16%,
2014,2015,0.08%,-0.13%,-0.15%,0.08%,0.11%,0.09%,0.11%,0.17%,0.10%,0.10%,
2015,2016,0.09%,0.41%,0.26%,0.30%,0.14%,0.13%,4.65%,0.02%,0.01%,0.04%,
2016,2017,-0.04%,-0.10%,-0.12%,0.13%,0.11%,-0.12%,,-0.10%,-0.07%,-0.04%,
2017,2018,0.03%,-0.23%,-0.07%,-0.07%,0.10%,-0.01%,,0.01%,0.08%,0.05%,
2018,2019,0.02%,0.13%,0.10%,0.08%,0.06%,0.01%,,0.05%,0.00%,-0.01%,
,,,,,,,,,,,,
,Total change:,0.0131,0.0107,0.0106,0.0344,0.0159,0.008,0.0471,0.0092,0.0122,0.0122,17.34%
