15-17,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2005,2006,0.0005,0.0008,,0.0011,
2006,2007,0.0001,-0.0006,,-0.0006,
,,,,,,
15-19,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2005,2006,0.0014,0.0021,,0.0025,
2006,2007,0.0004,-0.0001,,0.0001,
,,,,,,
18-19,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2005,2006,0.0028,0.0044,,0.0049,
2006,2007,0.0005,-0.0004,,0.0001,
,,,,,,
20-24,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2003,2004,-0.0008,0.0016,,-0.0009,
2004,2005,0.0003,0.002,,0,
2005,2006,0.0037,0.0057,,0.0065,
2006,2007,-0.0001,-0.0006,,0.0001,
,,,,,,
25-29,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2000,2001,0.0003,-0.0007,,0,
2001,2002,0.0009,-0.0002,,0.0003,
2002,2003,0.002,0.002,,0.0009,
2003,2004,-0.0002,0.003,,0.001,
2004,2005,0,0.0026,,0.0005,
2005,2006,0.0015,0.0036,,0.0045,
2006,2007,0.0001,-0.0002,,0.0005,
2012,2013,-0.001,0.0009,,0.001,
2013,2014,0.0003,0.0005,,0.0006,
2015,2016,-0.0022,0.0016,,-0.0013,
,,,,,,
30-34,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2000,2001,0.0006,-0.0005,,-0.0001,
2001,2002,0.0008,-0.0002,,0.0001,
2002,2003,0.0031,0.0017,,0.0012,
2003,2004,0.0005,0.0014,,0.0001,
2004,2005,0.0005,0.0024,,0.001,
2005,2006,0.0022,0.0036,,0.0044,
2006,2007,0.0017,0.0011,,0.0015,
2007,2008,-0.0012,-0.0001,,0.0006,
2010,2011,0,0.0011,,0.0003,
2011,2012,0.0008,0.001,,0.0012,
2012,2013,0.0007,0.0022,,0.0022,
2013,2014,0.0028,0.0021,,0.0023,
2014,2015,0.0007,0.0016,,0.002,
2015,2016,0.0012,0.0042,,0.0013,
2016,2017,-0.0024,0.0013,0.0012,0.0014,0.0015
,,,,,,
35-39,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2000,2001,0.0008,0.0001,,0.0002,
2001,2002,0.0011,0,,0.0001,
2002,2003,0.0023,0.0015,,0.0013,
2003,2004,0.0016,0.0007,,0.0002,
2004,2005,0.0009,0.0013,,0.0006,
2005,2006,0.0011,0.0012,,0.0017,
2006,2007,0.0001,0.0001,,0.0003,
2007,2008,-0.0008,0,,0.0001,
2009,2010,-0.0002,0.0002,,0.0003,
2010,2011,0.0013,0.0016,,0.0014,
2011,2012,0.0011,0.0012,,0.0011,
2012,2013,0.001,0.0013,,0.0014,
2013,2014,0.0017,0.0021,,0.0022,
2014,2015,0.0008,0.0008,,0.0011,
2015,2016,0.0009,0.003,,0.0014,
2016,2017,-0.0004,0.0013,0.0012,0.0011,0.0011
2017,2018,0.0003,-0.0007,-0.0008,0.001,0.001
2018,2019,0.0002,0.0008,0.0008,0.0006,0.0005
,,,,,,
40-44,,,,,,
Start_Year,End_Year,All,Black,Black_Single_Race,Black_not_HL,Black_not_HL_Single_Race
2000,2001,0.0001,0,,0.0001,
2001,2002,0.0002,0.0002,,0.0002,
2002,2003,0.0004,0.0002,,0.0002,
2003,2004,0.0003,0.0003,,0.0001,
2004,2005,0.0001,0.0005,,0.0004,
2005,2006,0.0003,0.0001,,0.0001,
2006,2007,0.0002,0.0002,,0.0002,
2007,2008,0.0003,0.0001,,0.0002,
2008,2009,0.0001,0.0001,,0.0002,
2009,2010,0.0002,0.0004,,0.0003,
2010,2011,0.0001,0.0001,,0.0001,
2011,2012,0.0001,0.0003,,0.0003,
2012,2013,0,0.0003,,0.0003,
2013,2014,0.0002,0.0002,,0.0002,
2014,2015,0.0004,0.0005,,0.0006,
2015,2016,0.0004,0.0009,,0.0004,
2016,2017,0.0002,0.0006,0.0007,0.0006,0.0006
2017,2018,0.0002,0.0002,0.0001,0.0006,0.0006
2018,2019,0.0002,0.0002,0.0003,0.0003,0.0003
