15-17,,,
Start_Year,End_Year,All,Hispanic_Latina
2005,2006,0.0005,-0.0007
2006,2007,0.0001,-0.0007
,,,
15-19,,,
Start_Year,End_Year,All,Hispanic_Latina
2005,2006,0.0014,0.0009
2006,2007,0.0004,-0.0021
,,,
18-19,,,
Start_Year,End_Year,All,Hispanic_Latina
2005,2006,0.0028,0.0043
2006,2007,0.0005,-0.004
,,,
20-24,,,
Start_Year,End_Year,All,Hispanic_Latina
2002,2003,-0.0008,0.0001
2003,2004,-0.0008,0.0001
2004,2005,0.0003,0.0019
2005,2006,0.0037,0.0056
,,,
25-29,,,
Start_Year,End_Year,All,Hispanic_Latina
2000,2001,0.0003,0.0009
2001,2002,0.0009,0.0008
2002,2003,0.002,0.0024
2003,2004,-0.0002,0.0007
2004,2005,0,0.0023
2005,2006,0.0015,0.0029
2006,2007,0.0001,-0.0004
2013,2014,0.0003,-0.0004
2014,2015,-0.0015,0.0006
,,,
30-34,,,
Start_Year,End_Year,All,Hispanic_Latina
2000,2001,0.0006,0.0007
2001,2002,0.0008,0.0005
2002,2003,0.0031,0.0032
2003,2004,0.0005,0.0019
2004,2005,0.0005,0.0022
2005,2006,0.0022,0.0019
2006,2007,0.0017,0.001
2011,2012,0.0008,-0.0009
2012,2013,0.0007,0.0005
2013,2014,0.0028,0.0017
2014,2015,0.0007,0.0021
2015,2016,0.0012,0.0006
2017,2018,-0.0006,0.0002
,,,
35-39,,,
Start_Year,End_Year,All,Hispanic_Latina
2000,2001,0.0008,0.0013
2001,2002,0.0011,0.0009
2002,2003,0.0023,0.0013
2003,2004,0.0016,0.0021
2004,2005,0.0009,0.0011
2005,2006,0.0011,0.0013
2006,2007,0.0001,0.0004
2010,2011,0.0013,-0.0004
2011,2012,0.0011,0.0003
2012,2013,0.001,0.0008
2013,2014,0.0017,0.0012
2014,2015,0.0008,0.0009
2015,2016,0.0009,0.0013
2017,2018,0.0003,-0.0001
2018,2019,0.0002,0.0001
,,,
40-44,,,
Start_Year,End_Year,All,Hispanic_Latina
2000,2001,0.0001,0.0001
2001,2002,0.0002,0.0001
2002,2003,0.0004,0.0004
2003,2004,0.0003,0.0002
2004,2005,0.0001,0.0005
2005,2006,0.0003,0.0003
2006,2007,0.0002,0
2007,2008,0.0003,0.0002
2008,2009,0.0001,-0.0001
2009,2010,0.0002,-0.0002
2010,2011,0.0001,0.0001
2011,2012,0.0001,0.0001
2012,2013,0,0.0001
2013,2014,0.0002,0.0002
2014,2015,0.0004,0.0005
2015,2016,0.0004,0.0005
2016,2017,0.0002,0
2017,2018,0.0002,0
2018,2019,0.0002,0
