15-17,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2003,2004,-0.0004,-0.0012,0.0259,
2004,2005,-0.0007,-0.0004,0.0001,
2005,2006,0.0005,-0.0004,-0.0004,
2006,2007,0.0001,0.0002,0.0003,
2007,2008,-0.0006,-0.0003,0.0006,
,,,,,
15-19,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2003,2004,-0.0006,-0.0018,0.0442,
2005,2006,0.0014,0.0009,0.0016,
2006,2007,0.0004,0.0024,0.0039,
,,,,,
18-19,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2003,2004,-0.0009,-0.0022,0.0746,
2005,2006,0.0028,0.0028,0.0052,
2006,2007,0.0005,0.0055,0.0087,
,,,,,
20-24,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2003,2004,-0.0008,-0.0016,0.0833,
2004,2005,0.0003,-0.0025,-0.0012,
2005,2006,0.0037,0.0039,0.0071,
,,,,,
25-29,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2000,2001,0.0003,-0.0026,0.0023,
2001,2002,0.0009,-0.0003,0.0037,
2002,2003,0.002,0.0004,-0.014,
2003,2004,-0.0002,-0.0022,0.0171,
2004,2005,0,-0.0008,0.0028,
2005,2006,0.0015,0.0027,0.0043,
2006,2007,0.0001,-0.0028,-0.0022,
2010,2011,-0.0011,0.001,-0.0005,
2012,2013,-0.001,0.0017,0.0014,
2013,2014,0.0003,-0.0009,-0.0014,
2015,2016,-0.0022,0.0165,-0.0022,
,,,,,
30-34,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2000,2001,0.0006,-0.0013,0.0014,
2001,2002,0.0008,-0.0005,0.0019,
2002,2003,0.0031,-0.0009,0.0448,
2003,2004,0.0005,-0.0009,-0.0432,
2004,2005,0.0005,-0.0001,0.0029,
2005,2006,0.0022,0.0002,0.0019,
2006,2007,0.0017,0.0005,0.0017,
2008,2009,-0.0019,-0.0005,0.0004,
2011,2012,0.0008,0.0024,0.0044,
2012,2013,0.0007,0.0007,0.0009,
2013,2014,0.0028,0.0019,0.0022,
2014,2015,0.0007,-0.0006,-0.002,
2015,2016,0.0012,0.0731,0.0016,
2017,2018,-0.0006,,0.0008,0.0011
,,,,,
35-39,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2000,2001,0.0008,-0.0006,0.0009,
2001,2002,0.0011,0.0001,0.001,
2002,2003,0.0023,-0.0008,0.0287,
2003,2004,0.0016,0.0006,-0.027,
2004,2005,0.0009,-0.0006,0.0006,
2005,2006,0.0011,0.0006,0.0009,
2006,2007,0.0001,0.0004,0.0005,
2008,2009,-0.0007,-0.0005,0.0003,
2010,2011,0.0013,0.0008,0.001,
2011,2012,0.0011,0.0002,0.0009,
2012,2013,0.001,0.0014,0.002,
2013,2014,0.0017,-0.0006,-0.0008,
2014,2015,0.0008,0.0011,0.0017,
2015,2016,0.0009,0.0465,0.0002,
2017,2018,0.0003,,0.0001,-0.0002
2018,2019,0.0002,,0.0005,0.0005
,,,,,
40-44,,,,,
Start_Year,End_Year,All,Native,Native_not_HL,Native_not_HL_Single_Race
2000,2001,0.0001,-0.0001,0,
2001,2002,0.0002,0.0001,0.0003,
2002,2003,0.0004,-0.0005,0.0061,
2003,2004,0.0003,0.0004,-0.0059,
2004,2005,0.0001,-0.0002,0.0001,
2005,2006,0.0003,0,0.0001,
2006,2007,0.0002,-0.0002,-0.0002,
2007,2008,0.0003,0.0001,0.0002,
2008,2009,0.0001,0,0.0001,
2009,2010,0.0002,-0.0001,0,
2010,2011,0.0001,0.0003,0,
2011,2012,0.0001,0,0.0004,
2013,2014,0.0002,0,0.0004,
2014,2015,0.0004,0.0003,0.0002,
2015,2016,0.0004,0.0107,0.0003,
2016,2017,0.0002,,-0.0001,0
2017,2018,0.0002,,0.0001,0.0001
2018,2019,0.0002,,-0.0002,-0.0003
