"Table IMMort. Infant mortality rates, by race: United States, selected years 1950–2019",,,,
Excel version (with more data years and standard errors when available): https://www.cdc.gov/nchs/hus/contents2020-2021.htm#Table-IMMort,,,,
[Data are based on death certificates and birth certificates],,,,
Race and year,Infant\1,Neonatal\1,,Postneonatal\1
,,Under 28 days,Under 7 days,
All races,"Deaths per 1,000 live births",,,
1950\2,29.2,20.5,17.8,8.7
1960\2,26.0,18.7,16.7,7.3
1970,20.0,15.1,13.6,4.9
1980,12.6,8.5,7.1,4.1
1981,11.9,8.0,6.7,3.9
1982,11.5,7.7,6.4,3.8
1983,11.2,7.3,6.1,3.9
1984,10.8,7.0,5.9,3.8
1985,10.6,7.0,5.8,3.7
1986,10.4,6.7,5.6,3.6
1987,10.1,6.5,5.4,3.6
1988,10.0,6.3,5.2,3.6
1989,9.8,6.2,5.1,3.6
1990,9.2,5.8,4.8,3.4
1991,8.9,5.6,4.6,3.4
1992,8.5,5.4,4.4,3.1
1993,8.4,5.3,4.3,3.1
1994,8.0,5.1,4.2,2.9
1995,7.6,4.9,4.0,2.7
1996,7.3,4.8,3.8,2.5
1997,7.2,4.8,3.8,2.5
1998,7.2,4.8,3.8,2.4
1999,7.1,4.7,3.8,2.3
2000,6.9,4.6,3.7,2.3
2001,6.8,4.5,3.6,2.3
2002,7.0,4.7,3.7,2.3
2003,6.9,4.6,3.7,2.2
2004,6.8,4.5,3.6,2.3
2005,6.9,4.5,3.6,2.3
2006,6.7,4.5,3.5,2.2
2007,6.8,4.4,3.5,2.3
2008,6.6,4.3,3.4,2.3
2009,6.4,4.2,3.3,2.2
2010,6.1,4.0,3.2,2.1
2011,6.1,4.1,3.3,2.0
2012,6.0,4.0,3.3,2.0
2013,6.0,4.0,3.3,1.9
2014,5.8,3.9,3.2,1.9
2015,5.9,3.9,3.2,2.0
2016,5.9,3.9,3.1,2.0
2017,5.8,3.8,3.1,1.9
2018,5.7,3.8,3.0,1.9
2019,5.6,3.7,3.0,1.9
Race of child\3: White,,,,
1950\2,26.8,19.4,17.1,7.4
1960\2,22.9,17.2,15.6,5.7
1970,17.8,13.8,12.5,4.0
1980,11.0,7.5,6.2,3.5
"Race of mother\4,\5: White",,,,
1980,10.9,7.4,6.1,3.5
1981,10.3,7.0,5.8,3.4
1982,9.9,6.7,5.6,3.2
1983,9.6,6.3,5.3,3.3
1984,9.3,6.1,5.1,3.2
1985,9.2,6.0,5.0,3.2
1986,8.8,5.7,4.7,3.1
1987,8.5,5.4,4.5,3.1
1988,8.4,5.3,4.3,3.1
1989,8.1,5.1,4.2,2.9
1990,7.6,4.8,3.9,2.8
1991,7.3,4.5,3.7,2.8
1992,6.9,4.3,3.5,2.6
1993,6.8,4.3,3.5,2.5
1994,6.6,4.2,3.4,2.4
1995,6.3,4.1,3.3,2.2
1996,6.1,4.0,3.2,2.1
1997,6.0,4.0,3.2,2.0
1998,6.0,4.0,3.1,2.0
1999,5.8,3.9,3.1,1.9
2000,5.7,3.8,3.0,1.9
2001,5.7,3.8,3.0,1.9
2002,5.8,3.9,3.1,1.9
2003,5.7,3.9,3.1,1.8
2004,5.7,3.8,3.0,1.9
2005,5.7,3.8,3.0,1.9
2006,5.6,3.7,2.9,1.8
2007,5.6,3.7,2.9,1.9
2008,5.5,3.6,2.9,1.9
2009,5.3,3.5,2.8,1.8
2010,5.2,3.5,2.7,1.7
2011,5.1,3.5,2.8,1.7
2012,5.1,3.5,2.8,1.6
2013,5.1,3.5,2.8,1.6
2014,4.9,3.4,2.7,1.6
2015,4.9,3.3,2.7,1.6
2016,4.9,3.3,2.6,1.7
2017,4.9,3.3,2.6,1.6
2018,4.7,3.2,2.6,1.5
2018 (single race),4.7,3.2,2.6,1.5
2019,4.7,3.1,2.5,1.5
2019 (single race),4.6,3.1,2.5,1.5
Race of child\3: Black or African American,,,,
1950\2,43.9,27.8,23.0,16.1
1960\2,44.3,27.8,23.7,16.5
1970,32.6,22.8,20.3,9.9
1980,21.4,14.1,11.9,7.3
"Race of mother\4,\5: Black or African American",,,,
1980,22.2,14.6,12.3,7.6
1981,20.8,14.0,11.8,6.8
1982,20.5,13.6,11.6,6.9
1983,20.0,12.9,11.1,7.0
1984,19.2,12.3,10.6,6.8
1985,19.0,12.6,10.8,6.4
1986,18.9,12.3,10.6,6.6
1987,18.8,12.3,10.5,6.4
1988,18.5,12.1,10.3,6.5
1989,18.6,11.9,10.1,6.7
1990,18.0,11.6,9.7,6.4
1991,17.6,11.2,9.4,6.3
1992,16.8,10.8,9.0,6.0
1993,16.5,10.7,9.0,5.8
1994,15.8,10.2,8.6,5.6
1995,15.1,9.8,8.2,5.3
1996,14.7,9.6,7.8,5.1
1997,14.2,9.4,7.8,4.8
1998,14.3,9.5,7.8,4.8
1999,14.6,9.8,7.9,4.8
2000,14.1,9.4,7.6,4.7
2001,14.0,9.2,7.6,4.8
2002,14.4,9.5,7.8,4.8
2003,14.0,9.4,7.5,4.6
2004,13.8,9.1,7.3,4.7
2005,13.7,9.1,7.3,4.7
2006,13.3,8.8,7.0,4.5
2007,13.2,8.6,6.9,4.6
2008,12.7,8.2,6.6,4.5
2009,12.6,8.2,6.6,4.5
